id,group,lng_bd09,lat_bd09,polygon_inside,prediction,duration_s,strict_classification,tolerant_classification,reason,origin_offset_m,destination_offset_m
v065,boundary,121.518895,31.310132,True,True,813,tp,tp,,0.9363843148979053,22.568490903892133
v066,boundary,121.505218,31.314318,False,False,938,tn,tn,,0.9363843148979053,2.2536219455195825
v067,boundary,121.516259,31.316656,True,True,679,tp,tp,,0.9363843148979053,30.199879365141303
v068,boundary,121.509358,31.308983,False,False,1365,tn,tn,,0.9363843148979053,9.331202693505295
v069,boundary,121.517391,31.316211,False,,968,api_unknown,api_unknown,endpoint_offset,0.9363843148979053,64.52234215593921
v070,boundary,121.519907,31.315823,False,False,891,fn,within_tolerance,,0.9363843148979053,6.440667879043118
v071,boundary,121.52184,31.312869,False,,869,api_unknown,api_unknown,endpoint_offset,0.9363843148979053,63.62058956140357
v072,boundary,121.507478,31.310859,False,False,1084,tn,tn,,0.9363843148979053,9.93613749536577
v073,boundary,121.507366,31.311454,False,False,962,tn,tn,,0.9363843148979053,14.241058759051903
v074,boundary,121.515376,31.307534,False,False,1179,tn,tn,,0.9363843148979053,1.7679008834431778
v075,boundary,121.515496,31.318461,False,,1243,algorithm_unknown,algorithm_unknown,,0.9363843148979053,37.746630435755186
v076,boundary,121.521498,31.31505,False,False,935,tn,tn,,0.9363843148979053,4.569713903282846
v077,boundary,121.516359,31.317762,False,,1047,algorithm_unknown,algorithm_unknown,,0.9363843148979053,16.39887503381436
v078,boundary,121.522332,31.314178,False,False,1014,tn,tn,,0.9363843148979053,1.2535968788597551
v079,boundary,121.508837,31.310823,True,True,786,tp,tp,,0.9363843148979053,20.551420954827424
v080,boundary,121.513805,31.317537,True,True,1124,fp,fp,,0.9363843148979053,2.3349167282991923
v081,boundary,121.513353,31.307502,False,False,888,fn,within_tolerance,,0.9363843148979053,12.997123517206353
v082,boundary,121.507983,31.315809,True,True,853,tp,tp,,0.9363843148979053,8.503878951059637
v083,boundary,121.521106,31.312705,True,True,852,tp,tp,,0.9363843148979053,36.3596712591105
v084,boundary,121.510844,31.318284,False,False,1216,tn,tn,,0.9363843148979053,12.488905184191378
v085,boundary,121.504797,31.314064,False,False,1013,tn,tn,,0.9363843148979053,1.3866334880144595
v086,boundary,121.521734,31.313989,True,True,909,fp,within_tolerance,,0.9363843148979053,8.689019598386839
v087,boundary,121.515266,31.317682,True,True,845,tp,tp,,0.9363843148979053,3.9867086602139614
v088,boundary,121.519919,31.309807,False,False,930,tn,tn,,0.9363843148979053,1.5305082638271452
v089,inferred_fill,121.51598,31.314523,True,True,377,tp,tp,,0.9363843148979053,6.151136087672237
v090,inferred_fill,121.517107,31.313805,True,True,426,tp,tp,,0.9363843148979053,11.042722002733973
v091,inferred_fill,121.516707,31.311128,True,True,633,tp,tp,,0.9363843148979053,17.26174827524091
v092,inferred_fill,121.517643,31.314081,True,True,565,tp,tp,,0.9363843148979053,12.648071541033419
v093,inferred_fill,121.516743,31.31198,True,True,528,tp,tp,,0.9363843148979053,12.496712020837942
v094,interior,121.51446,31.314724,True,True,256,tp,tp,,0.9363843148979053,1.2513716621837225
v095,interior,121.513818,31.31388,True,True,146,tp,tp,,0.9363843148979053,7.927729157125872
v096,interior,121.510067,31.313717,True,True,436,tp,tp,,0.9363843148979053,1.406817101495927
v097,interior,121.510789,31.311153,True,True,572,tp,tp,,0.9363843148979053,10.886227979186724
v098,interior,121.512488,31.316081,True,True,520,tp,tp,,0.9363843148979053,8.60855945942599
v099,exterior,121.519331,31.305611,False,False,1699,tn,tn,,0.9363843148979053,1.6564585556590063
v100,exterior,121.503354,31.320055,False,False,1628,tn,tn,,0.9363843148979053,5.101581565227819
